CG001Qv40Next015,180831_NB551381_0017_AH5TCMAFXY
CG001Qv40Next016,180906_NB551381_0018_AH5T7KAFXY
CG001Qv40Next017,180912_NB551381_0019_AH5MLJAFXY
CG001Qv40Next018,180917_NB551381_0020_AH5T7LAFXY
CG001Qv40Next020,180926_NB551381_0022_AHCMGGAFXY
CG001Qv40Next021,181001_NB551381_0023_AHCMG5AFXY
CG001Qv40Next061,200115_NB551381_0064_AHY57NAFXY
CG001Qv40Next062,200121_NB551381_0065_AHWN5JAFXY
CG001Qv40Next063,200128_NB551381_0066_AHWT2FAFXY
CG001Qv40Next064,200130_NB551381_0067_AHY57FAFXY
CG001Qv40Next065,200210_NB551381_0068_AHWT7GAFXY
CG001Qv40Next066,200218_NB551381_0069_AHWT7TAFXY
CG001Qv40Next067,200309_NB551381_0070_AHWT5VAFXY
CG001Qv40Next068,200429_NB551381_0073_AH5M5GAFX2
CG001Qv40Next069,200501_NB551381_0074_AH5LFGAFX2
CG001Qv40Next070,200520_NB551381_0075_AH5LYWAFX2
CG001Qv40Next071,200611_NB551381_0076_AH5LK2AFX2
CG001Qv40Next072,200623_NB551381_0077_AH5LGNAFX2
CG001Qv40Next073,200625_NB551381_0078_AH5LJLAFX2
CG001Qv40Next074,200703_NB551381_0079_AH5LJYAFX2
CG001Qv40Next075,200707_NB551381_0080_AH5H3HAFX2
CG001Qv40Next076,200903_NB551381_0082_AHFW2NAFX2
CG001Qv40Next078,200921_NB551381_0084_AHFWC5AFX2
CG001Qv40Next079,200924_NB551381_0085_AHFWTVAFX2
CG001Qv40Next081,201020_NB551381_0092_AHFWCCAFX2
